School,Feeder,Lat,Long,8/9/2021,8/10/2021,8/11/2021,8/12/2021,8/13/2021,8/14/2021,8/15/2021,8/16/2021,8/17/2021,8/18/2021,8/19/2021,8/20/2021,8/21/2021,8/22/2021,8/23/2021,8/24/2021,8/25/2021,8/26/2021,8/27/2021,8/28/2021,8/29/2021,8/30/2021,8/31/2021,9/1/2021,9/2/2021,9/3/2021,9/4/2021,9/5/2021
Acres Green Elementary,HRHS,39.55746796,-104.894945,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0
Arrowood Elementary,HRHS,39.52739077,-104.9345051,1,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bear Canyon Elementary,MVHS,39.54060861,-104.9815366,0,0,0,1,0,0,0,1,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo Ridge Elementary,RCHS,39.46597181,-104.8942272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
Castle Rock Elementary,DCHS,39.38284613,-104.8483512,1,0,0,1,0,0,0,1,0,0,3,1,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0
Castle Rock Middle School,CVHS,39.40988812,-104.8918514,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
Castle View High School,CVHS,39.41270501,-104.893616,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Chaparral High School,CHS,39.54280128,-104.8082383,0,1,0,0,0,0,0,1,1,4,2,6,0,0,15,3,2,5,1,0,0,5,1,4,2,0,0,0
Cherokee Trail Elementary,CHS,39.52527961,-104.787279,1,0,0,0,0,0,0,1,0,0,0,2,0,0,5,1,0,6,1,0,0,0,6,0,0,4,0,0
Cherry Valley Elementary,DCHS,39.22794629,-104.6991464,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cimarron Middle School,LHS,39.49543089,-104.7246087,1,0,1,1,0,0,0,3,2,0,1,0,0,0,3,1,1,1,1,0,0,4,0,0,1,0,0,0
Clear Sky Elementary,CVHS,39.38252233,-104.9040437,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Copper Mesa Elementary,MVHS,39.51876343,-104.9476394,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cougar Run Elementary,HRHS,39.55566063,-104.9481386,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Coyote Creek Elementary,TRHS,39.52776509,-105.0217049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cresthill Middle School,HRHS,39.54823197,-104.9303985,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Daniel C Oakes High School,Altenative,39.36078951,-104.8593716,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas County High School,DCHS,39.38876109,-104.8561219,3,2,0,1,0,0,0,3,1,1,0,6,0,0,5,4,8,3,3,0,0,10,5,3,2,2,0,0
Eagle Ridge Elementary,HRHS,39.54713576,-104.9006152,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eldorado Elementary,TRHS,39.54067661,-105.0025822,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Flagstone Elementary,DCHS,39.37414797,-104.7893916,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Fox Creek Elementary,HRHS,39.54787207,-104.9121928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Franktown Elementary,PHS,39.38249622,-104.748153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Frontier Valley Elementary,LHS,39.5023294,-104.714848,0,1,0,1,0,0,0,1,1,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
Gold Rush Elementary,LHS,39.49798595,-104.8023026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0
Heritage Elementary,MVHS,39.530814,-104.9505174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Highlands Ranch High School,HRHS,39.54477128,-104.9328369,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
Iron Horse Elementary,LHS,39.5065415,-104.7549158,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Larkspur Elementary,CVHS,39.23202854,-104.904327,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Legacy Point Elementary,PHS,39.48670843,-104.7830488,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Legend High School,LHS,39.49089225,-104.7303309,0,2,0,0,1,0,0,0,2,1,2,0,0,0,3,0,2,0,0,0,0,3,2,1,1,3,0,0
Lone Tree Elementary,Altenative,39.53834219,-104.8803415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Mammoth Heights Elementary,CHS,39.54405358,-104.8036425,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,3,2,0,0,0,0,0,3,0,0,0
Meadow View Elementary,CVHS,39.41073646,-104.9029062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
Mesa Middle School,DCHS,39.37376385,-104.7957809,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,2,0,6,0,1,2,3,3,3,3,0,0
Mountain Ridge Middle School,MVHS,39.52226678,-104.9626064,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mountain Vista High School,MVHS,39.52268677,-104.9655995,1,0,0,1,2,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
Northeast Elementary,PHS,39.45814669,-104.7572225,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Northridge Elementary,MVHS,39.55172617,-104.9828441,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0
Pine Grove Elementary,CHS,39.52748664,-104.8072426,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Pine Lane Elementary,CHS,39.54173621,-104.7654457,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
Pine Lane Intermediate,CHS,39.54296902,-104.7655142,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pioneer Elementary,LHS,39.51576599,-104.7404205,3,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0
Ponderosa High School,PHS,39.43581986,-104.7545871,2,1,0,0,0,0,0,1,0,2,1,2,0,0,1,0,0,0,1,0,0,1,0,4,0,0,0,0
Prairie Crossing Elementary,CHS,39.51036138,-104.7988006,0,0,0,0,0,0,0,1,3,2,1,1,0,0,2,0,0,0,1,0,0,4,1,0,1,1,0,0
Ranch View Middle School,TRHS,39.53281976,-105.0083521,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
